"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wellcube - Проект Tranquil","Карта","0","0","3","0","0"
"","Qube - Карта, навигация и базовые роуты","Навигация по всем проектам QUBE","0","0","9","0","0"
"","Qube - Проект Cubix","Агентский роут - Загрузка PDF","0","0","0","3","0"
"","Qube - Проект Arisha","Клиентский роут - Отправка обратной связи","0","0","3","0","0"
"","Capstone - Проект Peylaa","Проверка карты","0","0","3","0","0"
"","Qube - Проект Cubix","Клиентский роут - Отправка обратной связи","0","0","3","0","0"
"","API","Базовые запросы (Шаблон теста API)","0","0","0","3","0"
"","Qube - Карта, навигация и базовые роуты","Полный цикл навигации по проектам QUBE","0","0","9","0","0"
"","Qube - Карта, навигация и базовые роуты","Загрузка карты /map","0","0","3","0","0"
"","Qube - Проект Arisha","Агентский роут - Загрузка PDF","0","0","3","0","0"
"","Qube - Проект Elire","Агентский роут - Загрузка PDF","0","0","0","3","0"
"","Qube - Проект Elire","Клиентский роут - Отправка обратной связи","0","0","3","0","0"
