"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 28 20:23:16 UTC 2025","Sun Dec 28 20:23:32 UTC 2025","16057","tests.ui.qube.arisha","test_arisha_explore_amenities","","","","test_arisha_explore_amenities[chromium-client]","Тест Explore Amenities для проекта Arisha на всех роутах."
"skipped","Sun Dec 28 20:11:57 UTC 2025","Sun Dec 28 20:11:57 UTC 2025","0","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_full_navigation_cycle_on_map[firefox-arisha]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Sun Dec 28 20:29:13 UTC 2025","Sun Dec 28 20:29:29 UTC 2025","16107","tests.ui.mobile.msg.edgewater","test_edgewater_mobile_explore_amenities","","","","test_edgewater_mobile_explore_amenities[chromium]","Тест Explore Amenities для проекта Edgewater на мобильном устройстве."
"passed","Sun Dec 28 20:32:20 UTC 2025","Sun Dec 28 20:32:46 UTC 2025","25730","tests.ui.mobile.vibe.arsenal","test_arsenal_mobile_explore_amenities","","","","test_arsenal_mobile_explore_amenities[chromium]","Тест Explore Amenities для проекта Arsenal на мобильном устройстве."
"broken","Sun Dec 28 20:15:33 UTC 2025","Sun Dec 28 20:16:04 UTC 2025","31081","tests.ui.qube.arisha","test_arisha_apartment_widget","","","","test_arisha_apartment_information[firefox-agent]","Тест проверки информации об апартаменте Arisha на всех роутах."
"passed","Sun Dec 28 20:12:47 UTC 2025","Sun Dec 28 20:12:56 UTC 2025","8172","tests.ui.lsr.mark","test_mark_catalog_navigation","","","","test_mark_catalog_navigation[webkit]","Тест перехода в каталог квартир для проекта MARK."
"passed","Sun Dec 28 20:20:57 UTC 2025","Sun Dec 28 20:21:03 UTC 2025","6308","tests.ui.lsr.mark","test_mark_360_area_tour","","","","test_mark_360_area_tour[firefox-lobby-k1]","Тест 360 Area Tour для проекта MARK с разными типами панорам."
"passed","Sun Dec 28 20:46:48 UTC 2025","Sun Dec 28 20:46:58 UTC 2025","10650","tests.ui.mobile.qube.cubix","test_cubix_mobile_explore_amenities","","","","test_cubix_mobile_explore_amenities[chromium-client]","Тест Explore Amenities для проекта Cubix на мобильном устройстве на всех роутах."
"passed","Sun Dec 28 20:11:52 UTC 2025","Sun Dec 28 20:11:59 UTC 2025","6449","tests.ui.lsr.mark","test_mark_360_area_tour","","","","test_mark_360_area_tour[webkit-rotation]","Тест 360 Area Tour для проекта MARK с разными типами панорам."
"passed","Sun Dec 28 20:16:32 UTC 2025","Sun Dec 28 20:16:43 UTC 2025","11285","tests.ui.vibe.arsenal","test_arsenal_catalog_navigation","","","","test_arsenal_catalog_navigation[chromium]","Тест перехода в каталог квартир для проекта Arsenal."
"passed","Sun Dec 28 20:43:46 UTC 2025","Sun Dec 28 20:43:50 UTC 2025","4546","tests.ui.mobile.lsr.mark","test_mark_mobile_360_area_tour","","","","test_mark_mobile_360_area_tour[chromium-yard]","Тест 360 Area Tour для MARK на мобильном устройстве с разными типами панорам."
"skipped","Sun Dec 28 20:42:58 UTC 2025","Sun Dec 28 20:42:58 UTC 2025","0","tests.ui.mobile.qube.elire","test_elire_mobile_agent_route","","","","test_elire_mobile_agent_route[chromium]","Тест агентского роута для проекта Elire на мобильном устройстве."
"passed","Sun Dec 28 20:11:09 UTC 2025","Sun Dec 28 20:11:18 UTC 2025","8835","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_map_page_loads[webkit]","Тест загрузки страницы карты."
"passed","Sun Dec 28 20:09:20 UTC 2025","Sun Dec 28 20:09:34 UTC 2025","13961","tests.ui.qube.arisha","test_arisha_explore_amenities","","","","test_arisha_explore_amenities[webkit-map]","Тест Explore Amenities для проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:17:47 UTC 2025","Sun Dec 28 20:18:01 UTC 2025","13721","tests.ui.qube","test_qube_all_projects_amenities","","","","test_all_qube_projects_explore_amenities[firefox-cubix]","
    Единый тест Explore Amenities для всех Qube проектов.

    Использует PageFactory для динамического создания нужной страницы проекта.
    Каждый проект имеет свою реализацию доступа к amenities (инкапсулирована в классе),
    но проверки одинаковые.
    "
"passed","Sun Dec 28 20:11:18 UTC 2025","Sun Dec 28 20:11:23 UTC 2025","4858","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_project_navigation_on_map[webkit-elire]","Тест навигации по проектам."
