"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 28 13:12:29 UTC 2025","Thu Aug 28 13:12:37 UTC 2025","8238","tests.ui","test_map_page","","","","test_project_navigation_on_map[webkit-arisha]","Тест навигации по проектам."
"skipped","Thu Aug 28 13:12:48 UTC 2025","Thu Aug 28 13:12:48 UTC 2025","0","tests.api","test_api_example","","","","test_api_data_validation[chromium]","Тест валидации данных API."
"skipped","Thu Aug 28 13:13:08 UTC 2025","Thu Aug 28 13:13:08 UTC 2025","0","tests.api","test_api_example","","","","test_api_post_request[firefox]","Тест POST запроса."
"passed","Thu Aug 28 13:13:10 UTC 2025","Thu Aug 28 13:13:18 UTC 2025","7898","tests.ui","test_map_page","","","","test_map_page_loads[firefox]","Тест загрузки страницы карты."
"skipped","Thu Aug 28 13:13:18 UTC 2025","Thu Aug 28 13:13:18 UTC 2025","0","tests.ui","test_map_page","","","","test_map_page_all_elements[firefox]","Тест всех основных элементов страницы карты."
"skipped","Thu Aug 28 13:13:08 UTC 2025","Thu Aug 28 13:13:08 UTC 2025","0","tests.api","test_api_example","","","","test_api_error_handling[firefox]","Тест обработки ошибок API."
"skipped","Thu Aug 28 13:11:38 UTC 2025","Thu Aug 28 13:11:38 UTC 2025","0","tests.api","test_api_example","","","","test_api_data_validation[webkit]","Тест валидации данных API."
"passed","Thu Aug 28 13:13:44 UTC 2025","Thu Aug 28 13:13:55 UTC 2025","11635","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[chromium-arisha]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:13:25 UTC 2025","Thu Aug 28 13:13:34 UTC 2025","8532","tests.ui","test_map_page","","","","test_project_navigation_on_map[firefox-elire]","Тест навигации по проектам."
"passed","Thu Aug 28 13:13:13 UTC 2025","Thu Aug 28 13:13:24 UTC 2025","11631","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[chromium-elire]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:11:40 UTC 2025","Thu Aug 28 13:11:48 UTC 2025","8193","tests.ui","test_map_page","","","","test_map_page_loads[webkit]","Тест загрузки страницы карты."
"passed","Thu Aug 28 13:14:03 UTC 2025","Thu Aug 28 13:14:15 UTC 2025","11838","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[chromium-cubix]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:13:36 UTC 2025","Thu Aug 28 13:13:43 UTC 2025","7551","tests.ui","test_map_page","","","","test_project_navigation_on_map[chromium-arisha]","Тест навигации по проектам."
"passed","Thu Aug 28 13:12:49 UTC 2025","Thu Aug 28 13:12:58 UTC 2025","8816","tests.ui","test_map_page","","","","test_map_page_loads[chromium]","Тест загрузки страницы карты."
"skipped","Thu Aug 28 13:13:08 UTC 2025","Thu Aug 28 13:13:08 UTC 2025","0","tests.api","test_api_example","","","","test_api_data_validation[firefox]","Тест валидации данных API."
"skipped","Thu Aug 28 13:11:38 UTC 2025","Thu Aug 28 13:11:38 UTC 2025","0","tests.api","test_api_example","","","","test_api_performance[webkit]","Тест производительности API."
"passed","Thu Aug 28 13:14:54 UTC 2025","Thu Aug 28 13:15:03 UTC 2025","8518","tests.ui","test_map_page","","","","test_project_navigation_on_map[firefox-cubix]","Тест навигации по проектам."
"passed","Thu Aug 28 13:13:48 UTC 2025","Thu Aug 28 13:14:31 UTC 2025","42660","tests.ui","test_map_page","","","","test_fullscreen_mode_on_map[firefox]","Тест полноэкранного режима."
"skipped","Thu Aug 28 13:12:48 UTC 2025","Thu Aug 28 13:12:48 UTC 2025","0","tests.api","test_api_example","","","","test_api_error_handling[chromium]","Тест обработки ошибок API."
"passed","Thu Aug 28 13:12:17 UTC 2025","Thu Aug 28 13:12:29 UTC 2025","11894","tests.ui","test_map_page","","","","test_fullscreen_mode_on_map[webkit]","Тест полноэкранного режима."
"passed","Thu Aug 28 13:13:55 UTC 2025","Thu Aug 28 13:14:03 UTC 2025","7583","tests.ui","test_map_page","","","","test_project_navigation_on_map[chromium-cubix]","Тест навигации по проектам."
"passed","Thu Aug 28 13:12:38 UTC 2025","Thu Aug 28 13:12:50 UTC 2025","12304","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[webkit-arisha]","Тест полного цикла навигации: карта -> проект -> карта."
"skipped","Thu Aug 28 13:12:48 UTC 2025","Thu Aug 28 13:12:48 UTC 2025","0","tests.api","test_api_example","","","","test_api_post_request[chromium]","Тест POST запроса."
"passed","Thu Aug 28 13:13:24 UTC 2025","Thu Aug 28 13:13:36 UTC 2025","11477","tests.ui","test_map_page","","","","test_fullscreen_mode_on_map[chromium]","Тест полноэкранного режима."
"skipped","Thu Aug 28 13:13:08 UTC 2025","Thu Aug 28 13:13:08 UTC 2025","0","tests.api","test_api_example","","","","test_api_performance[firefox]","Тест производительности API."
"passed","Thu Aug 28 13:13:34 UTC 2025","Thu Aug 28 13:13:48 UTC 2025","13995","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[firefox-elire]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:14:31 UTC 2025","Thu Aug 28 13:14:40 UTC 2025","8680","tests.ui","test_map_page","","","","test_project_navigation_on_map[firefox-arisha]","Тест навигации по проектам."
"passed","Thu Aug 28 13:12:58 UTC 2025","Thu Aug 28 13:13:05 UTC 2025","6598","tests.ui","test_map_page","","","","test_all_projects_visible_on_map[chromium]","Тест видимости всех проектов на карте."
"skipped","Thu Aug 28 13:12:48 UTC 2025","Thu Aug 28 13:12:48 UTC 2025","0","tests.api","test_api_example","","","","test_api_performance[chromium]","Тест производительности API."
"skipped","Thu Aug 28 13:13:08 UTC 2025","Thu Aug 28 13:13:08 UTC 2025","0","tests.api","test_api_example","","","","test_api_health_check[firefox]","Тест проверки здоровья API."
"passed","Thu Aug 28 13:13:18 UTC 2025","Thu Aug 28 13:13:25 UTC 2025","7440","tests.ui","test_map_page","","","","test_all_projects_visible_on_map[firefox]","Тест видимости всех проектов на карте."
"passed","Thu Aug 28 13:11:48 UTC 2025","Thu Aug 28 13:11:55 UTC 2025","7000","tests.ui","test_map_page","","","","test_all_projects_visible_on_map[webkit]","Тест видимости всех проектов на карте."
"skipped","Thu Aug 28 13:12:58 UTC 2025","Thu Aug 28 13:12:58 UTC 2025","0","tests.ui","test_map_page","","","","test_map_page_all_elements[chromium]","Тест всех основных элементов страницы карты."
"passed","Thu Aug 28 13:13:05 UTC 2025","Thu Aug 28 13:13:13 UTC 2025","7769","tests.ui","test_map_page","","","","test_project_navigation_on_map[chromium-elire]","Тест навигации по проектам."
"skipped","Thu Aug 28 13:11:38 UTC 2025","Thu Aug 28 13:11:38 UTC 2025","0","tests.api","test_api_example","","","","test_api_error_handling[webkit]","Тест обработки ошибок API."
"skipped","Thu Aug 28 13:11:38 UTC 2025","Thu Aug 28 13:11:38 UTC 2025","0","tests.api","test_api_example","","","","test_api_post_request[webkit]","Тест POST запроса."
"passed","Thu Aug 28 13:12:04 UTC 2025","Thu Aug 28 13:12:17 UTC 2025","12367","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[webkit-elire]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:11:56 UTC 2025","Thu Aug 28 13:12:04 UTC 2025","8387","tests.ui","test_map_page","","","","test_project_navigation_on_map[webkit-elire]","Тест навигации по проектам."
"skipped","Thu Aug 28 13:11:48 UTC 2025","Thu Aug 28 13:11:48 UTC 2025","0","tests.ui","test_map_page","","","","test_map_page_all_elements[webkit]","Тест всех основных элементов страницы карты."
"skipped","Thu Aug 28 13:12:48 UTC 2025","Thu Aug 28 13:12:48 UTC 2025","0","tests.api","test_api_example","","","","test_api_health_check[chromium]","Тест проверки здоровья API."
"passed","Thu Aug 28 13:14:40 UTC 2025","Thu Aug 28 13:14:54 UTC 2025","14025","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[firefox-arisha]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:15:03 UTC 2025","Thu Aug 28 13:15:19 UTC 2025","15533","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[firefox-cubix]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Thu Aug 28 13:12:50 UTC 2025","Thu Aug 28 13:12:58 UTC 2025","7892","tests.ui","test_map_page","","","","test_project_navigation_on_map[webkit-cubix]","Тест навигации по проектам."
"skipped","Thu Aug 28 13:11:38 UTC 2025","Thu Aug 28 13:11:38 UTC 2025","0","tests.api","test_api_example","","","","test_api_health_check[webkit]","Тест проверки здоровья API."
"passed","Thu Aug 28 13:12:58 UTC 2025","Thu Aug 28 13:13:12 UTC 2025","13483","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[webkit-cubix]","Тест полного цикла навигации: карта -> проект -> карта."
