"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 27 19:47:56 UTC 2025","Wed Aug 27 19:47:56 UTC 2025","0","tests.api","test_api_example","","","","test_api_performance[firefox]","Тест производительности API."
"passed","Wed Aug 27 19:48:13 UTC 2025","Wed Aug 27 19:48:22 UTC 2025","8596","tests.ui","test_map_page","","","","test_project_navigation_on_map[firefox-elire]","Тест навигации по проектам."
"skipped","Wed Aug 27 19:47:56 UTC 2025","Wed Aug 27 19:47:56 UTC 2025","0","tests.api","test_api_example","","","","test_api_health_check[firefox]","Тест проверки здоровья API."
"skipped","Wed Aug 27 19:47:56 UTC 2025","Wed Aug 27 19:47:56 UTC 2025","0","tests.api","test_api_example","","","","test_api_data_validation[firefox]","Тест валидации данных API."
"skipped","Wed Aug 27 19:48:36 UTC 2025","Wed Aug 27 19:48:36 UTC 2025","0","tests.ui","test_map_page","","","","test_map_zoom_functionality[firefox]","Тест функциональности зума карты."
"passed","Wed Aug 27 19:48:06 UTC 2025","Wed Aug 27 19:48:13 UTC 2025","7434","tests.ui","test_map_page","","","","test_all_projects_visible_on_map[firefox]","Тест видимости всех проектов на карте."
"passed","Wed Aug 27 19:49:19 UTC 2025","Wed Aug 27 19:49:28 UTC 2025","8742","tests.ui","test_map_page","","","","test_project_navigation_on_map[firefox-arisha]","Тест навигации по проектам."
"passed","Wed Aug 27 19:49:28 UTC 2025","Wed Aug 27 19:49:42 UTC 2025","13798","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[firefox-arisha]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Wed Aug 27 19:48:22 UTC 2025","Wed Aug 27 19:48:36 UTC 2025","13823","tests.ui","test_map_page","","","","test_full_navigation_cycle_on_map[firefox-elire]","Тест полного цикла навигации: карта -> проект -> карта."
"skipped","Wed Aug 27 19:48:06 UTC 2025","Wed Aug 27 19:48:06 UTC 2025","0","tests.ui","test_map_page","","","","test_map_page_all_elements[firefox]","Тест всех основных элементов страницы карты."
"skipped","Wed Aug 27 19:47:56 UTC 2025","Wed Aug 27 19:47:56 UTC 2025","0","tests.api","test_api_example","","","","test_api_post_request[firefox]","Тест POST запроса."
"passed","Wed Aug 27 19:48:36 UTC 2025","Wed Aug 27 19:49:19 UTC 2025","42437","tests.ui","test_map_page","","","","test_fullscreen_mode_on_map[firefox]","Тест полноэкранного режима."
"skipped","Wed Aug 27 19:47:56 UTC 2025","Wed Aug 27 19:47:56 UTC 2025","0","tests.api","test_api_example","","","","test_api_error_handling[firefox]","Тест обработки ошибок API."
"passed","Wed Aug 27 19:47:58 UTC 2025","Wed Aug 27 19:48:06 UTC 2025","7581","tests.ui","test_map_page","","","","test_map_page_loads[firefox]","Тест загрузки страницы карты."
